day;amountOfAnimalsOnTheMap;theMostPopularGenotype;averageLevelOfEnergyOfAnimals;avgAmountOfChildren;avgLifeTimeForDeadAnimal;amountOfGrassOnTheMap;amountOfEmptyFieldsOnTheMap
0;5.0;[6, 5, 0, 4, 2, 7, 4, 5, 7, 7, 3, 6, 7, 5, 1, 7, 0, 4, 4, 1, 1, 5, 3, 7, 2, 0, 1, 5, 5, 1];100.0;0.0;0.0;100.0;800.0
1;5.0;[6, 5, 0, 4, 2, 7, 4, 5, 7, 7, 3, 6, 7, 5, 1, 7, 0, 4, 4, 1, 1, 5, 3, 7, 2, 0, 1, 5, 5, 1];98.0;0.0;0.0;103.0;797.0
2;5.0;[6, 5, 0, 4, 2, 7, 4, 5, 7, 7, 3, 6, 7, 5, 1, 7, 0, 4, 4, 1, 1, 5, 3, 7, 2, 0, 1, 5, 5, 1];96.0;0.0;0.0;106.0;794.0
3;5.0;[6, 5, 0, 4, 2, 7, 4, 5, 7, 7, 3, 6, 7, 5, 1, 7, 0, 4, 4, 1, 1, 5, 3, 7, 2, 0, 1, 5, 5, 1];94.0;0.0;0.0;109.0;791.0
4;5.0;[6, 5, 0, 4, 2, 7, 4, 5, 7, 7, 3, 6, 7, 5, 1, 7, 0, 4, 4, 1, 1, 5, 3, 7, 2, 0, 1, 5, 5, 1];92.0;0.0;0.0;112.0;788.0
5;5.0;[6, 5, 0, 4, 2, 7, 4, 5, 7, 7, 3, 6, 7, 5, 1, 7, 0, 4, 4, 1, 1, 5, 3, 7, 2, 0, 1, 5, 5, 1];90.0;0.0;0.0;115.0;785.0
6;5.0;[6, 5, 0, 4, 2, 7, 4, 5, 7, 7, 3, 6, 7, 5, 1, 7, 0, 4, 4, 1, 1, 5, 3, 7, 2, 0, 1, 5, 5, 1];88.0;0.0;0.0;118.0;782.0
7;5.0;[6, 5, 0, 4, 2, 7, 4, 5, 7, 7, 3, 6, 7, 5, 1, 7, 0, 4, 4, 1, 1, 5, 3, 7, 2, 0, 1, 5, 5, 1];86.0;0.0;0.0;121.0;779.0
8;5.0;[6, 5, 0, 4, 2, 7, 4, 5, 7, 7, 3, 6, 7, 5, 1, 7, 0, 4, 4, 1, 1, 5, 3, 7, 2, 0, 1, 5, 5, 1];84.0;0.0;0.0;124.0;776.0
9;5.0;[6, 5, 0, 4, 2, 7, 4, 5, 7, 7, 3, 6, 7, 5, 1, 7, 0, 4, 4, 1, 1, 5, 3, 7, 2, 0, 1, 5, 5, 1];87.0;0.0;0.0;126.0;774.0
10;5.0;[6, 5, 0, 4, 2, 7, 4, 5, 7, 7, 3, 6, 7, 5, 1, 7, 0, 4, 4, 1, 1, 5, 3, 7, 2, 0, 1, 5, 5, 1];85.0;0.0;0.0;129.0;771.0
11;5.0;[6, 5, 0, 4, 2, 7, 4, 5, 7, 7, 3, 6, 7, 5, 1, 7, 0, 4, 4, 1, 1, 5, 3, 7, 2, 0, 1, 5, 5, 1];83.0;0.0;0.0;132.0;768.0
12;5.0;[6, 5, 0, 4, 2, 7, 4, 5, 7, 7, 3, 6, 7, 5, 1, 7, 0, 4, 4, 1, 1, 5, 3, 7, 2, 0, 1, 5, 5, 1];81.0;0.0;0.0;135.0;765.0
13;5.0;[6, 5, 0, 4, 2, 7, 4, 5, 7, 7, 3, 6, 7, 5, 1, 7, 0, 4, 4, 1, 1, 5, 3, 7, 2, 0, 1, 5, 5, 1];79.0;0.0;0.0;138.0;762.0
14;5.0;[6, 5, 0, 4, 2, 7, 4, 5, 7, 7, 3, 6, 7, 5, 1, 7, 0, 4, 4, 1, 1, 5, 3, 7, 2, 0, 1, 5, 5, 1];77.0;0.0;0.0;141.0;759.0
15;5.0;[6, 5, 0, 4, 2, 7, 4, 5, 7, 7, 3, 6, 7, 5, 1, 7, 0, 4, 4, 1, 1, 5, 3, 7, 2, 0, 1, 5, 5, 1];80.0;0.0;0.0;143.0;757.0
16;5.0;[6, 5, 0, 4, 2, 7, 4, 5, 7, 7, 3, 6, 7, 5, 1, 7, 0, 4, 4, 1, 1, 5, 3, 7, 2, 0, 1, 5, 5, 1];75.0;0.0;0.0;146.0;754.0
